"id","answer_text","answer_discription","added_by_tg_id"
1,На такой запрос у меня нет ответа,,
2,"Чтобы взять отпуск следует:\n- Согласовать сроки с руководителем проекта за 2 недели до желаемой даты\n- Оформить заявление на отпуск и направить в кадровый отдел\n- Проинформировать команду о предстоящем отпуске\n- Поставить ""отбойник в почте"" к кому обращаться по время отсутствия #keyboard get_annual_leave",,
4,Если тебе скучно - напиши @Brukva2,,
5,Чтобы оформить рабочую почту напиши @tg_name,,
6,Чтобы получить оборудование для работы можно обратиться к @tg_name,,
10,Скачать форму на оплачиваемый отпуск можно по кнопке: #keyboard get_annual_leave,,
11,Скачать форму на отпуск за свой счет можно по кнопке: #keyboard vacation_at_own,,
12,Если вы хотите сформировать отправку заявления на отпуск нажмите на кнопку: #keyboard start_sending_vacation_email,,
13,<b>Отдел кадров</b> group_kdp@teamforce.ru,,
14,<b>Договорной отдел</b> group_contracts@teamforce.ru,,
15,<b>Ресурсный отдел</b> smartdev@teamforce.ru ,,
16,Для поиска по номеру телефона воспользуйтесь кнопкой: #keyboard start_search_by_phone,,
21,Вас отправляют в командироку?\nОзнакомьтесь с положением о командировках и заполните следующие документы: #keyboard get_business_trip_docs_keyboard,,
23,Wi-Fi:\nTF_N\nTF_N _5G\nПароль: tf_new321,,
24,Уборные находятся на каждом этаже за ресепшеном,,
8,"Список документов можно найти по ссылке ""ссылка""",,
18,"У Вас остались вопросы?\nРасскажите мне, что Вас интересует?""\n@vkim_teamforce",/support,
19,<b>Подробнее о компании Вы можете узнать на сайтах:</b>\n<a href='https://smartstaffing.ru'>СмартСтаффинг</a>\n<a href='https://teamforce.ru/'>ТИМ ФОРС</a>\n<a href='https://teamforce.ru/welcomebook/'>Велкомбук ТИМ ФОРС</a>\n<a href='https://tatmobile.solutions/'>ТатМобайлИнформСиДиСи</a>\n\n<b>Подписывайтесь и следите за нашими новостями!</b>\n<a href='https://vk.com/teamforcex'>Вконтакте</a>\n<a href='https://t.me/teamforcex'>Telegram</a>\n<a href='https://instagram.com/teamforce.ru'>Instagram</a>\n<a href='https://www.facebook.com/teamforceX'>Facebook</a>,/social_media,
20,Проводим сбор инициатив/идей и предложений,/initiative,
22,"Как к нам попасть:\nтерритория Инновационного центра ""Сколково""\nд. Сколково, Большой бульвар, д.42, стр. 1, офис 337, ядро 4, этаж 0 (видео: https://disk.yandex.ru/i/v2GaULdsHJyCLg)\n\nПо ссылке Вы можете увидеть карту проезда и схему парковок: https://sk.ru/transport/",/office,
25,"Мобильное приложение:\n\nGoogle Play: https://play.google.com/store/apps/details?id=com.teamforce.thanksapp\nRuStore: https://apps.rustore.ru/app/com.teamforce.thanksapp\nIOS:  https://testflight.apple.com/join/LhHajOy8\n\n\nВеб-платформа https://teamforce360.com\nТехподдержка (не смотрите что бот, за ним живые люди) https://t.me/TF360SupportBot\nВаш рабочий тг кабинет https://t.me/DigitalRefBot\nСайт проекта https://teamforce360.ru",/tf360,
9,Для поиска сотрудника воспользуйся клавиатурой #keyboard search_way,/find,
27,"Выгружаетя фото: https://disk.yandex.ru/i/PKcCI85GYNSvjQ\n""Пионер и лидер в области лизинга и проектных команд 2008 года.\n14 лет в области HR-Tech""\n\nБизнес-процессы:\n**Поиск и верификация поставщиков и специалистов. Сбор данных о доступности в единый пул ресурсов\n*Привлечение компетенций под конкретный проект. Управление специалистами и их загрузкой\n*Управление поставщиками. Организация документооборота и проведение платежей",,
28,Правила выплаты заработной платы для штатников:\nРаботодатель выплачивает работникам заработную плату не реже чем два раза в месяц:\n\n-20 (Двадцатого) числа каждого месяца выплачивается заработная плата за первую половину текущего месяца из расчета фактически отработанного времени;\n\n- 5 (Пятого) числа следующего месяца осуществляется окончательный расчет по итогам работы за предыдущий месяц. При совпадении дня выплаты с выходным или нерабочим праздничным днем выплата заработной платы производится накануне этого дня. Оплата производится пропорционально отработанному времени.,,
29,"Оплата СЗ и ИП\n- производится в течение 15 (пятнадцати) рабочих дней с даты окончания месяца, за который производится оплата, на основании подписанных документов (акт, или отчет, акт и отчет одновременно), это обычно 20-25 числа следующего месяца. Если подписанные документы отсутствуют - оплата будет произведена после получения оригиналов.\nНо здесь бывают исключения, могут договориться на более больший или меньший срок отсрочки платежа, оплата может производиться ежеквартально.\n\nОплата ЮЛ\n- производится в течение 20 (двадцать) рабочих дней с даты окончания месяца, за который производится оплата, на основании подписанных документов (акт, или отчет, акт и отчет одновременно), это обычно последние числа следующего месяца. Если подписанные документы отсутствуют - оплата будет произведена после получения оригиналов.\nНо здесь бывают исключения, могут договориться на более больший или меньший срок отсрочки платежа, оплата может производиться ежеквартально.",,
31,В моём меню хранятся полезные команды. \n/benefits - Информация о бонусах\n/business_trip - Подготовка к командировке/contacts - Контакты всех отделов\n/find - Поиск контактных данных сотрудников\n/finance - Вопросы по перечислениям\n/initiative - Сбор инициатив/идей и предложений\n/office - Информация про адрес\n/vacation - Подготовка к отпуску\n/referal - Информация о реферальной программе\n/tf360 - О проекте ТФ360\n/social_media - Ссылки на наши соцсети\n/support - Помогает найти ответственного по вопросу\n,Команды для бота,
17,"Рады представить Вам бенефит-кафе - привилегии для сотрудников ТИМ ФОРС.\nИз бенефит-кафе, раз в год Вы можете выбрать один* понравившийся бенефит из предложенного 'меню'(здоровье, образование, путешествия и досуг) на определенную сумму**\n\n*Неиспользованный за год бенефит, сгорает.\n**Ваучер на сумму 23 000 рублей(получить наличными его нельзя) с возможностью выставления счета на ЮЛ.\n\nДля получения дополнительной информации, просьба обращаться к @vkim_teamforce #keyboard get_teamforce_presentation_keyboard",/benefits,
30,Как вы оформлены в компании ? #keyboard finance_staff_choose_kb,"",
26,"Team Force активно растет и развивается и с каждым днем возрастает необходимость закрывать как можно больше позиций эффективными и лояльными сотрудниками как внутри компании, так и для наших заказчиков. Поэтому мы приняли решение дать Вам возможность рассказать о своих знакомых, которые находятся в поиске работы или Вы хотели бы работать вместе, но не знаете какие у нас есть вакансии.\n\nУ нас действует реферальная программа — Team Force Referrals.\nСуть программы — вы рекомендуете нам своих друзей и знакомых, в случае их трудоустройства получаете привлекательный бонус\nДля того, чтобы рекомендовать кандидата необходимо отправить резюме на почту Info@teamforce.ru.\nПремия выплачивается вам после прохождения рефералом испытательного срока 3 месяца или 1 месяц в случае оформления по ИП. Срок действия программы до 31.12.2023",/referal,
