"id","question_text","id_answer"
1,как пойти в отпуск,2
2,как уйти в отпуск,2
12,скучно,4
13,рабочая почта,5
14,рабочий ноутбук,6
15,контакты,9
16,документ,8
17,доступ к рабочей почте,5
18,контакты сотрудника,9
19,список документов,8
20,список документов на трудоустройство,8
21,найти,9
22,отпуск оплачиваемый,10
23,отпуск за свой счет,11
24,направить заявление на отпуск,12
25,Отпуск,2
26,поиск,9
27,отдел кадров,13
28,оформление отпуска,13
29,информирование о больничном,13
30,запросы расчетных листков,13
31,подписание трудовых договоров,13
32,договорной отдел,14
33,Согласование договоров на работы,14
34,Уточнение вопросов по оплатам,14
35,Ресурсный отдел,15
36,Уточнение свободных вакансий для друзей,15
37,Чей это номер телефона ,16
38,Бенефит - кафе,17
39,плюшки,17
40,неоплачиваемый отпуск,11
41,поддержка,18
42,вопросы,18
43,нужна помощь,18
44,ссылки,19
45,ВК,19
46,медиа,19
47,инстаграм,19
48,социальные сети,19
49,телеграм,19
50,телега,19
51,сайт,19
52,фейсбук,19
53,смарт стаффинг,19
54,идея,20
55,предложение,20
56,командировка,21
57,меня отправляют в командировку,21
58,офис,22
59,как проехать,22
60,как найти,22
61,адрес,22
4,парковка,22
62,пароль от вай фая,23
63,wi fi,23
64,помыть руки,24
65,туалет,24
66,уборная,24
5,цифровое спасибо,25
9,TF360,25
10,Спасибка,25
67,вакансии,26
68,открытые вакансии,26
69,посоветовать знакомого,26
70,посоветовать друга,26
71,посоветовать кандидата,26
72,порекомендовать друга,26
73,порекомендовать знакомого,26
74,порекомендовать кандидата,26
75,работа для друга,26
76,работа для знакомого,26
77,о компании,27
78,узнать компанию,27
79,Бизнес-Процессы,27
80,ТИМ ФОРС,27
81,История,27
82,оплата,30
83,зарплата,30
84,когда зп,30
85,зп,30
86,правила выплаты,30
87,заработная плата,30
11,какой то странный вопрос про зп,28
